"nhanes5k.csv.PART_1:2","\demographics\education\","","NUMERIC",""
"nhanes5k.csv.PART_1:9","\laboratory\viral infection\Hepatitis B surface antigen\","","NUMERIC",""
"nhanes5k.csv.PART_1:10","\laboratory\viral infection\Hepatitis C antibody (confirmed)\","","NUMERIC",""
"nhanes5k.csv.PART_1:11","\laboratory\viral infection\Hepatitis D (anti-HDV)\","","NUMERIC",""
"nhanes5k.csv.PART_1:14","\laboratory\viral infection\HIV antibody test result\","","NUMERIC",""
"nhanes5k.csv.PART_1:40","\laboratory\heavy metals\Cadmium (ug/L)\","","NUMERIC",""
"nhanes5k.csv.PART_1:41","\laboratory\heavy metals\Lead (ug/dL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:15","\laboratory\viral infection\CD4 counts (cells/mm3)\","","TEXT",""
"nhanes5k.csv.PART_1:16","\laboratory\viral infection\CD8 counts (cells/mm3)\","","TEXT",""
"nhanes5k.csv.PART_1:44","\laboratory\cotinine\Cotinine (ng/mL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:13","\laboratory\viral infection\Hepatitis A Antibody (Anti-HAV)\","","NUMERIC",""
"nhanes5k.csv.PART_1:8","\laboratory\viral infection\Hepatitis B core antibody\","","NUMERIC",""
"nhanes5k.csv.PART_1:12","\laboratory\viral infection\Hepatitis B Surface Antibody\","","NUMERIC",""
"nhanes5k.csv.PART_1:43","\laboratory\heavy metals\Mercury inorganic (ug/L)\N","NUMERIC",""
"nhanes5k.csv.PART_1:42","\laboratory\heavy metals\Mercury total (ug/L)\N","NUMERIC",""
"nhanes5k.csv.PART_1:35","\laboratory\volatile compounds\Blood 111-Trichloroethane (ng/mL)\N","NUMERIC",""
"nhanes5k.csv.PART_1:22","\laboratory\volatile compounds\Blood Tetrachloroethene (ng/mL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:23","\laboratory\volatile compounds\Blood Bromoform (pg/mL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:24","\laboratory\volatile compounds\Blood Bromodichloromethane (pg/mL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:25","\laboratory\volatile compounds\Blood Benzene (ng/mL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:26","\laboratory\volatile compounds\Blood Chloroform (pg/mL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:27","\laboratory\volatile compounds\Blood Dibromochloromethane (pg/mL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:28","\laboratory\volatile compounds\Blood Carbon Tetrachloride (ng/mL)\","","NUMERIC",""
"nhanes5k.csv.PART_1:29","\laboratory\volatile compounds\Blood 14-Dichlorobenzene (ng/mL)\N","NUMERIC",""
