nhaneslargesample.csv:998,\questionnaire\pharmaceutical\99999\,,TEXT,
nhaneslargesample.csv:1035,\questionnaire\pharmaceutical\ACETAMINOPHEN__CODEINE\,,TEXT,
nhaneslargesample.csv:352,\questionnaire\pharmaceutical\ACETAMINOPHEN__CODEINE_PHOSPHATE\,,NUMERIC,
nhaneslargesample.csv:983,\questionnaire\pharmaceutical\ACETAMINOPHEN__HYDROCODONE\,,TEXT,
nhaneslargesample.csv:342,\questionnaire\pharmaceutical\ACETAMINOPHEN__HYDROCODONE_BITARTRATE\,,NUMERIC,
nhaneslargesample.csv:1053,\questionnaire\pharmaceutical\ACETAMINOPHEN__OXYCODONE\,,TEXT,
nhaneslargesample.csv:972,\questionnaire\pharmaceutical\ACETAMINOPHEN__OXYCODONE_HYDROCHLORIDE\,,TEXT,
nhaneslargesample.csv:1001,\questionnaire\pharmaceutical\ACETAMINOPHEN__PROPOXYPHENE\,,TEXT,
nhaneslargesample.csv:339,\questionnaire\pharmaceutical\ACETAMINOPHEN__PROPOXYPHENE_NAPSYLATE\,,NUMERIC,
nhaneslargesample.csv:1169,\demographics\AGE\,,NUMERIC,
nhaneslargesample.csv:452,\questionnaire\pharmaceutical\age_started_birth_control\,,NUMERIC,
nhaneslargesample.csv:451,\questionnaire\pharmaceutical\age_stopped_birth_control\,,NUMERIC,
nhaneslargesample.csv:653,\questionnaire\supplement use\ALANINE_mg\,,NUMERIC,
nhaneslargesample.csv:296,\questionnaire\pharmaceutical\ALBUTEROL\,,NUMERIC,
nhaneslargesample.csv:1025,\questionnaire\pharmaceutical\ALBUTEROL__IPRATROPIUM\,,TEXT,
nhaneslargesample.csv:654,\questionnaire\supplement use\ALCOHOL_PERCENT\,,NUMERIC,
nhaneslargesample.csv:990,\questionnaire\pharmaceutical\ALENDRONATE\,,TEXT,
nhaneslargesample.csv:365,\questionnaire\pharmaceutical\ALENDRONATE_SODIUM\,,NUMERIC,
nhaneslargesample.csv:371,\questionnaire\pharmaceutical\ALLOPURINOL\,,NUMERIC,
nhaneslargesample.csv:1125,\questionnaire\supplement use\ALPHA_TOCOPHEROL_IU\,,TEXT,
nhaneslargesample.csv:1130,\questionnaire\supplement use\ALPHA_TOCOPHEROL_mg\,,TEXT,
nhaneslargesample.csv:690,\questionnaire\supplement use\ALPHA_TOCOPHEROL_NA\,,NUMERIC,
nhaneslargesample.csv:357,\questionnaire\pharmaceutical\ALPRAZOLAM\,,NUMERIC,
nhaneslargesample.csv:1017,\questionnaire\pharmaceutical\AMITRIPTYLINE\,,TEXT,
nhaneslargesample.csv:364,\questionnaire\pharmaceutical\AMITRIPTYLINE_HYDROCHLORIDE\,,NUMERIC,
nhaneslargesample.csv:982,\questionnaire\pharmaceutical\AMLODIPINE\,,TEXT,
nhaneslargesample.csv:1002,\questionnaire\pharmaceutical\AMLODIPINE__BENAZEPRIL\,,TEXT,
nhaneslargesample.csv:302,\questionnaire\pharmaceutical\AMLODIPINE_BESYLATE\,,NUMERIC,
nhaneslargesample.csv:298,\questionnaire\pharmaceutical\AMOXICILLIN\,,NUMERIC,
nhaneslargesample.csv:1026,\questionnaire\pharmaceutical\AMOXICILLIN__CLAVULANATE\,,TEXT,
nhaneslargesample.csv:345,\questionnaire\pharmaceutical\AMOXICILLIN_TRIHYDRATE__CLAVULANATE_POTASSIUM\,,NUMERIC,
nhaneslargesample.csv:1047,\questionnaire\pharmaceutical\AMPHETAMINE__DEXTROAMPHETAMINE\,,TEXT,
nhaneslargesample.csv:967,\questionnaire\pharmaceutical\AMPHETAMINE_ASPARTATE__AMPHETAMINE_SULFATE__DEXTROAMPHETAMINE_SACCHARATE__DEXTROAMPHETAMINE_SULFATE\,,TEXT,
nhaneslargesample.csv:378,\questionnaire\pharmaceutical\ANTIBIOTIC_UNSPECIFIED\,,NUMERIC,
nhaneslargesample.csv:1162,\questionnaire\disease\any_cad\,,NUMERIC,
nhaneslargesample.csv:729,\questionnaire\disease\Any cancer or malignancy?\,,NUMERIC,
nhaneslargesample.csv:1159,\questionnaire\disease\any_chronic_disease\,,NUMERIC,
nhaneslargesample.csv:696,\questionnaire\disease\Any Diabetes (FBG >= 126 mg/dL or self-report)\,,NUMERIC,
nhaneslargesample.csv:730,\questionnaire\disease\Any family with heart attack or angina?\,,NUMERIC,
